# baobzi pack/scatter bench (nanobench, xsimd lane_w=8)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 800.0 and 4,600.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi pack/scatter
| 6,379.0% |                8.03 |      124,478,244.72 |    0.2% |          149.66 |           24.81 |  6.032 |          27.09 |    0.0% |      0.23 | `1d_scatter scatter_sorted deg=8 R=64 N=64`
|10,420.2% |                4.92 |      203,338,230.13 |    0.4% |           85.00 |           15.19 |  5.596 |          12.45 |    0.0% |      0.24 | `1d_scatter scatter_counting deg=8 R=64 N=64`
|12,782.0% |                4.01 |      249,425,592.84 |    0.6% |           53.27 |           12.39 |  4.300 |           7.03 |    0.0% |      0.24 | `1d_scatter scatter_naive  deg=8 R=64 N=64`
| 1,506.0% |                8.51 |      117,554,612.33 |    0.1% |          140.11 |           26.27 |  5.333 |          25.11 |    0.0% |      0.24 | `1d_scatter scatter_sorted deg=8 R=64 N=256`
| 2,839.3% |                4.51 |      221,623,549.86 |    0.2% |           68.14 |           13.94 |  4.888 |           8.55 |    0.0% |      0.24 | `1d_scatter scatter_counting deg=8 R=64 N=256`
| 3,185.7% |                4.02 |      248,663,376.37 |    1.0% |           53.07 |           12.42 |  4.272 |           7.01 |    0.1% |      0.25 | `1d_scatter scatter_naive  deg=8 R=64 N=256`
|   395.8% |                8.09 |      123,586,121.42 |    0.7% |          117.70 |           24.99 |  4.711 |          21.23 |    0.0% |      0.24 | `1d_scatter scatter_sorted deg=8 R=64 N=1024`
|   698.1% |                4.59 |      217,956,171.24 |    2.1% |           64.01 |           14.17 |  4.517 |           7.60 |    0.2% |      0.23 | `1d_scatter scatter_counting deg=8 R=64 N=1024`
|   802.6% |                3.99 |      250,573,935.33 |    0.4% |           53.02 |           12.33 |  4.301 |           7.00 |    0.0% |      0.24 | `1d_scatter scatter_naive  deg=8 R=64 N=1024`
|   356.0% |               35.99 |       27,786,915.22 |    0.4% |          321.02 |          111.19 |  2.887 |          12.00 |    0.0% |      0.24 | `2d_bump scalar_loop<256> deg=8`
|    81.7% |              156.89 |        6,374,033.06 |    2.1% |        2,195.02 |          484.58 |  4.530 |          30.00 |    0.0% |      0.24 | `3d_gauss scalar_loop<256> deg=8`
